window_id,window_start_date,window_end_date,event_count,total_estimated_impact_energy_kt,max_estimated_impact_energy_kt,event_ids,dates_utc,window_note
HEF_0079,2017-10-04,2017-10-18,4,0.65,0.34,FB_20171004120705_00321 | FB_20171009004632_00320 | FB_20171009125148_00319 | FB_20171015043316_00318,2017-10-04 12:07:05 | 2017-10-09 00:46:32 | 2017-10-09 12:51:48 | 2017-10-15 04:33:16,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0083,2018-01-15,2018-01-29,2,0.65,0.55,FB_20180115021838_00308 | FB_20180122220630_00307,2018-01-15 02:18:38 | 2018-01-22 22:06:30,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0169,2023-12-30,2024-01-13,1,0.65,0.65,FB_20231230210433_00079,2023-12-30 21:04:33,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0054,2016-01-21,2016-02-04,2,0.62,0.35,FB_20160121164454_00373 | FB_20160127095915_00372,2016-01-21 16:44:54 | 2016-01-27 09:59:15,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0155,2023-02-02,2023-02-16,2,0.62,0.52,FB_20230202204922_00109 | FB_20230214225524_00108,2023-02-02 20:49:22 | 2023-02-14 22:55:24,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0156,2023-02-19,2023-03-05,2,0.6,0.4,FB_20230219061533_00107 | FB_20230303025354_00106,2023-02-19 06:15:33 | 2023-03-03 02:53:54,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0196,2025-11-11,2025-11-25,2,0.6,0.32,FB_20251111173951_00017 | FB_20251115004843_00016,2025-11-11 17:39:51 | 2025-11-15 00:48:43,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0042,2015-04-21,2015-05-05,2,0.59,0.32,FB_20150421014251_00403 | FB_20150430102100_00402,2015-04-21 01:42:51 | 2015-04-30 10:21:00,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0128,2021-03-05,2021-03-19,2,0.58,0.45,FB_20210305135001_00181 | FB_20210306084306_00180,2021-03-05 13:50:01 | 2021-03-06 08:43:06,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0110,2019-11-28,2019-12-12,4,0.57,0.18,FB_20191128132210_00235 | FB_20191128203053_00234 | FB_20191203064627_00233 | FB_20191206101957_00232,2019-11-28 13:22:10 | 2019-11-28 20:30:53 | 2019-12-03 06:46:27 | 2019-12-06 10:19:57,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0183,2024-11-29,2024-12-13,2,0.57,0.38,FB_20241129175718_00051 | FB_20241201085016_00049,2024-11-29 17:57:18 | 2024-12-01 08:50:16,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0109,2019-10-22,2019-11-05,2,0.56,0.44,FB_20191022222115_00238 | FB_20191105112450_00237,2019-10-22 22:21:15 | 2019-11-05 11:24:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0201,2026-04-29,2026-05-13,3,0.55,0.2,FB_20260429140039_00005 | FB_20260507055203_00004 | FB_20260510165737_00003,2026-04-29 14:00:39 | 2026-05-07 05:52:03 | 2026-05-10 16:57:37,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0199,2026-03-17,2026-03-31,2,0.54,0.37,FB_20260317125642_00011 | FB_20260323192343_00009,2026-03-17 12:56:42 | 2026-03-23 19:23:43,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0138,2021-12-20,2022-01-03,2,0.53,0.42,FB_20211220231554_00159 | FB_20220101202303_00156,2021-12-20 23:15:54 | 2022-01-01 20:23:03,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0073,2017-04-30,2017-05-14,2,0.52,0.4,FB_20170430212828_00332 | FB_20170514093035_00331,2017-04-30 21:28:28 | 2017-05-14 09:30:35,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0141,2022-02-17,2022-03-03,2,0.52,0.32,FB_20220217035323_00150 | FB_20220217120806_00149,2022-02-17 03:53:23 | 2022-02-17 12:08:06,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0129,2021-04-02,2021-04-16,1,0.52,0.52,FB_20210402155257_00179,2021-04-02 15:52:57,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0033,2014-10-06,2014-10-20,3,0.5,0.25,FB_20141006200214_00430 | FB_20141014102503_00429 | FB_20141017140736_00428,2014-10-06 20:02:14 | 2014-10-14 10:25:03 | 2014-10-17 14:07:36,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0151,2022-11-08,2022-11-22,3,0.5,0.2,FB_20221108085401_00119 | FB_20221120135354_00118 | FB_20221120153521_00117,2022-11-08 08:54:01 | 2022-11-20 13:53:54 | 2022-11-20 15:35:21,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0003,2012-07-25,2012-08-08,2,0.5,0.39,FB_20120725074820_00495 | FB_20120727041950_00494,2012-07-25 07:48:20 | 2012-07-27 04:19:50,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0180,2024-09-23,2024-10-07,2,0.5,0.32,FB_20240923063747_00056 | FB_20240928001019_00055,2024-09-23 06:37:47 | 2024-09-28 00:10:19,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0134,2021-09-29,2021-10-13,1,0.49,0.49,FB_20210929105059_00168,2021-09-29 10:50:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0065,2016-09-14,2016-09-28,2,0.47,0.24,FB_20160914150151_00348 | FB_20160922045749_00347,2016-09-14 15:01:51 | 2016-09-22 04:57:49,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0135,2021-10-20,2021-11-03,3,0.46,0.19,FB_20211020004353_00167 | FB_20211020084150_00166 | FB_20211021103202_00165,2021-10-20 00:43:53 | 2021-10-20 08:41:50 | 2021-10-21 10:32:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0018,2013-09-24,2013-10-08,1,0.46,0.46,FB_20130924153116_00458,2013-09-24 15:31:16,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0118,2020-07-12,2020-07-26,2,0.44,0.27,FB_20200712075031_00207 | FB_20200720212509_00206,2020-07-12 07:50:31 | 2020-07-20 21:25:09,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0030,2014-07-29,2014-08-12,2,0.43,0.25,FB_20140729030743_00437 | FB_20140729073807_00436,2014-07-29 03:07:43 | 2014-07-29 07:38:07,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0074,2017-05-22,2017-06-05,2,0.43,0.3,FB_20170522174439_00330 | FB_20170524070302_00329,2017-05-22 17:44:39 | 2017-05-24 07:03:02,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0035,2014-11-04,2014-11-18,1,0.42,0.42,FB_20141104201330_00426,2014-11-04 20:13:30,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0113,2020-01-21,2020-02-04,3,0.41,0.2,FB_20200121200743_00225 | FB_20200124111330_00224 | FB_20200127053913_00223,2020-01-21 20:07:43 | 2020-01-24 11:13:30 | 2020-01-27 05:39:13,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0071,2017-02-22,2017-03-08,2,0.41,0.28,FB_20170222184730_00337 | FB_20170225012258_00336,2017-02-22 18:47:30 | 2017-02-25 01:22:58,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0146,2022-06-14,2022-06-28,2,0.41,0.21,FB_20220614131227_00136 | FB_20220626201626_00135,2022-06-14 13:12:27 | 2022-06-26 20:16:26,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0064,2016-08-27,2016-09-10,1,0.41,0.41,FB_20160827214513_00349,2016-08-27 21:45:13,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0049,2015-10-04,2015-10-18,3,0.38,0.15,FB_20151004210217_00384 | FB_20151010095751_00383 | FB_20151011000746_00382,2015-10-04 21:02:17 | 2015-10-10 09:57:51 | 2015-10-11 00:07:46,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0087,2018-04-21,2018-05-05,3,0.37,0.14,FB_20180421120603_00298 | FB_20180430131757_00297 | FB_20180503072359_00296,2018-04-21 12:06:03 | 2018-04-30 13:17:57 | 2018-05-03 07:23:59,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0076,2017-07-13,2017-07-27,2,0.37,0.23,FB_20170713093036_00325 | FB_20170723061238_00324,2017-07-13 09:30:36 | 2017-07-23 06:12:38,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0008,2012-11-20,2012-12-04,1,0.37,0.37,FB_20121120062511_00481,2012-11-20 06:25:11,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0102,2019-04-22,2019-05-06,1,0.37,0.37,FB_20190422214210_00261,2019-04-22 21:42:10,High-energy fireballs >= 0.1 kt inside 14-day window
HEF_0133,2021-07-29,2021-08-12,2,0.36,0.23,FB_20210729131957_00171 | FB_20210730080633_00170,2021-07-29 13:19:57 | 2021-07-30 08:06:33,High-energy fireballs >= 0.1 kt inside 14-day window
