rank,candidate_type,candidate_id,candidate_name,primary_date_or_window,score,orbit_context_status,orbit_class_code,orbit_class_name,is_neo,is_pha,moid_au,estimated_diameter_km,sentry_match_status,sentry_year_range,sentry_impact_probability,review_note
213,repeating_close_approach_object,2025 SY1,       (2025 SY1),2001-Apr-30 03:52 to 2004-Sep-17 18:12,41.566,ok,ATE,Aten,True,False,,,matched_sentry,2042-2124,0.000148716402,Specific object enriched with SBDB orbital context.
214,high_energy_fireball_window,HEF_0198,HEF_0198,2026-01-30 to 2026-02-13,41.55,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
215,high_energy_fireball_window,HEF_0099,HEF_0099,2019-02-18 to 2019-03-04,41.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
216,high_energy_fireball_window,HEF_0187,HEF_0187,2025-02-22 to 2025-03-08,41.5,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
217,high_energy_fireball_window,HEF_0130,HEF_0130,2021-05-02 to 2021-05-16,41.4,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
218,high_energy_fireball_window,HEF_0137,HEF_0137,2021-11-28 to 2021-12-12,41.35,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
219,high_energy_fireball_window,HEF_0037,HEF_0037,2014-12-12 to 2014-12-26,41.3,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
220,high_energy_fireball_window,HEF_0174,HEF_0174,2024-05-05 to 2024-05-19,41.3,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
221,high_energy_fireball_window,HEF_0186,HEF_0186,2025-02-02 to 2025-02-16,41.3,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
222,high_energy_fireball_window,HEF_0159,HEF_0159,2023-04-26 to 2023-05-10,41.2,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
223,high_energy_fireball_window,HEF_0106,HEF_0106,2019-08-16 to 2019-08-30,41.15,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
224,high_energy_fireball_window,HEF_0144,HEF_0144,2022-04-12 to 2022-04-26,41.1,not_applicable,,,,,,,not_applicable,,,"Candidate is a time/month pattern, not a single cataloged object."
225,repeating_close_approach_object,2020 DK,       (2020 DK),2000-Mar-11 10:50 to 2004-Mar-08 13:42,40.626,ok,ATE,Aten,True,False,,,matched_sentry,2089-2122,1.565146e-05,Specific object enriched with SBDB orbital context.
